"original_path","proposed_path","course_code","course_title","department","program","semester","year","exam_type","confidence"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2025/SS870_ Mid Term 2025.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Chemical Sciences/PhD/Core/2025/MidTerm/SS870_Chemistry_of_Natural_Products_MidTerm_2025.pdf","SS870","Chemistry of Natural Products","Chemical Sciences","PhD","SemGeneral","2025","MidTerm","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2018/AE806_Nov 2018.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mechanical & Aerospace/PhD/Core/2018/EndSem/AE806_Combustion_EndSem_2018.pdf","AE806","Combustion","Mechanical & Aerospace","PhD","SemGeneral","2018","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/5th Semester/2022/Fifth Semester  2022 Regular ﻿/19MEE360_V Sem Jan 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mechanical & Aerospace/B.Tech/DeptElective/2022/EndSem/19MEE360_Electric_Vehicle_Design_EndSem_2022.pdf","19MEE360","Electric Vehicle Design","Mechanical & Aerospace","B.Tech","Sem05","2022","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2019/SS813_II Ass Oct 2019.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Biotechnology & Health/PhD/Core/2019/Ass2/SS813_Microfluidics_Ass2_2019.pdf","SS813","Microfluidics","Biotechnology & Health","PhD","SemGeneral","2019","Ass2","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PG Diploma in Waste Management and Environmental Hygiene/1st Semester/22WME501_II Ass Dec 2022.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mechanical & Aerospace/PG Diploma/Core/2022/Ass2/22WME501_Overview_of_Waste_Management_Ass2_2022.pdf","22WME501","Overview of Waste Management","Mechanical & Aerospace","PG Diploma","Sem01","2022","Ass2","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/3rd Semester/Third Semester First Assessment 2019/15mat201 _I Ass Aug 2019.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/B.Tech/Core/2019/Ass1/15MAT201_Discrete_Mathematics_Ass1_2019.pdf","15MAT201","Discrete Mathematics","Mathematics & Statistics","B.Tech","Sem03","2019","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/2nd Semester/2013/Second semester 2013/MEC100.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/General & Interdisciplinary/B.Tech/Core/2013/EndSem/Dec 2013_Total_EndSem_2013.pdf","Dec 2013","Total","General & Interdisciplinary","B.Tech","Sem01","2013","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/Integrated MSc & MA/2nd Semester/2023/Second Semester - Second Assessment 2023/22CSA111_II Ass May 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Computer Science & Engineering/Integrated M.Sc./Core/2023/Ass2/22CSA111_Advanced_Computer_Programming_-_C_Ass2_2023.pdf","22CSA111","Advanced Computer Programming - C","Computer Science & Engineering","Integrated M.Sc.","Sem02","2023","Ass2","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PhD/2023/23MA803  _I Ass April 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/PhD/Core/2023/Ass1/23MA803_Homological_Algebra_Ass1_2023.pdf","23MA803","Homological Algebra","Mathematics & Statistics","PhD","Sem04","2023","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/4th Semester/2022/Fourth Semester - First Assessment May 2022/19HUM244_1Asses_ May 2022.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Humanities & Social Sciences/B.Tech/OpenElective/2022/Ass1/19HUM244_Understanding_Science_of_Food_and_Nutrition_Ass1_2022.pdf","19HUM244","Understanding Science of Food and Nutrition","Humanities & Social Sciences","B.Tech","Sem04","2022","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/M.Tech/1st Semester/First Semester - Second Assessment 2017/16MA 610 _Ass II_Sep-Oct 2017.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mathematics & Statistics/M.Tech/Core/2017/Ass1/16MA610_Probability_and_Random_Processes_Ass1_2017.pdf","16MA610","Probability and Random Processes","Mathematics & Statistics","M.Tech","Sem01","2017","Ass1","high"
